"Guid","AccountNumber","AccountSource","Active__c","AnnualRevenue","BillingCity","BillingCountry","BillingGeocodeAccuracy","BillingLatitude","BillingLongitude","BillingPostalCode","BillingState","BillingStreet","CustomerPriority__c","Description","DunsNumber","Fax","Industry","Jigsaw","NaicsCode","NaicsDesc","Name","NumberOfEmployees","NumberofLocations__c","Ownership","ParentId","Phone","Rating","SLAExpirationDate__c","SLASerialNumber__c","SLA__c","ShippingCity","ShippingCountry","ShippingGeocodeAccuracy","ShippingLatitude","ShippingLongitude","ShippingPostalCode","ShippingState","ShippingStreet","Sic","SicDesc","Site","TickerSymbol","Tradestyle","Type","UpsellOpportunity__c","Website","YearStarted"
043881ec-74d9-4af0-bfa9-04a8d1345b1d,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Grand Hotels & Resorts Ltd,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Customer - Direct,"#N/A","#N/A","#N/A"
0728aced-12f3-466a-b36b-4d03e600bb5d,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Burlington Textiles Corp of America,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Customer - Direct,"#N/A","#N/A","#N/A"
07605450-6a56-4a2f-a960-d30f9674202c,CC978213,"#N/A",Yes,3.0E7,Mountain View,"#N/A","#N/A","#N/A","#N/A","#N/A",CA,"345 Shoreline Park
Mountain View, CA 94043
USA",Low,Genomics company engaged in mapping and sequencing of the human genome and developing gene-based drugs,"#N/A",(650) 867-9895,Biotechnology,"#N/A","#N/A","#N/A",GenePoint,265,1.0,Private,"#N/A",(650) 867-3450,Cold,2019-10-07,7324,Bronze,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","345 Shoreline Park
Mountain View, CA 94043
USA",3712,"#N/A","#N/A","#N/A","#N/A",Customer - Channel,Yes,www.genepoint.com,"#N/A"
086af6f6-4ca1-4d8c-8b05-e87eff4b19a9,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Dickenson plc v3,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Customer - Channel,"#N/A","#N/A","#N/A"
0b430021-ec9d-431f-bf2b-35a319920aa6,CD656092,"#N/A","#N/A",3.5E8,Burlington,USA,"#N/A","#N/A","#N/A",27215,NC,525 S. Lexington Ave,"#N/A","#N/A","#N/A",(336) 222-8000,Apparel,"#N/A","#N/A","#N/A",Burlington Textiles Corp of America,9000,6.0,Public,"#N/A",(336) 222-7000,Warm,2019-04-06,5367,Silver,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",546732,"#N/A","#N/A",BTXT,"#N/A",Customer - Direct,Maybe,www.burlington.com,"#N/A"
0b7ce57f-324a-485d-aeb7-75128224bbfa,CC947211,"#N/A",Yes,9.5E8,Portland,"#N/A","#N/A","#N/A","#N/A","#N/A",OR,"620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States",Medium,Commerical logistics and transportation company.,"#N/A",(503) 421-7801,Transportation,"#N/A","#N/A","#N/A",Express Logistics and Transport,12300,150.0,Public,"#N/A",(503) 421-7800,Cold,2019-10-07,4724,Platinum,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States",8742,"#N/A","#N/A",EXLT,"#N/A",Customer - Channel,Maybe,www.expressl&t.net,"#N/A"
0ca8533b-12ea-461a-8b10-c155418be2de,"#N/A","#N/A","#N/A","#N/A",Singapore,"#N/A","#N/A","#N/A","#N/A","#N/A",Singapore,"9 Tagore Lane
Singapore, Singapore 787472
Singapore","#N/A","#N/A","#N/A",(650) 450-8820,Energy,"#N/A","#N/A","#N/A","United Oil & Gas, Singapore",3000,"#N/A","#N/A","#N/A",(650) 450-8810,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","9 Tagore Lane
Singapore, Singapore 787472
Singapore","#N/A","#N/A","#N/A","#N/A","#N/A",Customer - Direct,"#N/A",http://www.uos.com,"#N/A"
0d928362-0c3d-4ed0-a7bf-a4c561f2e0b4,"#N/A","#N/A","#N/A",9.5E8,Portland,"#N/A","#N/A","#N/A","#N/A","#N/A",OR,"620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States","#N/A",Commerical logistics and transportation company.,"#N/A",(503) 421-7801,Transportation,"#N/A","#N/A","#N/A",Express Logistics and Transport,12300,"#N/A","#N/A","#N/A",(503) 421-7800,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States","#N/A","#N/A","#N/A","#N/A","#N/A",Customer - Channel,"#N/A",www.expressl&t.net,"#N/A"
132fd45a-949b-4335-a591-ca7c49aaa5cb,"#N/A","#N/A","#N/A",1.39E8,Austin,"#N/A","#N/A","#N/A","#N/A","#N/A",TX,"312 Constitution Place
Austin, TX 78767
USA","#N/A","Edge, founded in 1998, is a start-up based in Austin, TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website.","#N/A",(512) 757-9000,Electronics,"#N/A","#N/A","#N/A",Edge Communications,1000,"#N/A","#N/A","#N/A",(512) 757-6000,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","312 Constitution Place
Austin, TX 78767
USA","#N/A","#N/A","#N/A","#N/A","#N/A",Customer - Direct,"#N/A",http://edgecomm.com,"#N/A"
1680f55d-4766-4543-a73f-0398749e0bfe,CD439877,"#N/A",Yes,5.0E8,Chicago,"#N/A","#N/A","#N/A","#N/A","#N/A",IL,"2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA",High,"Chain of hotels and resorts across the US, UK, Eastern Europe, Japan, and SE Asia.","#N/A",(312) 596-1500,Hospitality,"#N/A","#N/A","#N/A",Grand Hotels & Resorts Ltd,5600,57.0,Public,"#N/A",(312) 596-1000,Warm,2019-10-07,5572,Gold,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA",2268,"#N/A","#N/A",GHTL,"#N/A",Customer - Direct,Yes,www.grandhotels.com,"#N/A"
17007c1b-414c-43c5-92ef-92bbcfe0e801,"#N/A","#N/A","#N/A",1.39E8,Austin,"#N/A","#N/A","#N/A","#N/A","#N/A",TX,"312 Constitution Place
Austin, TX 78767
USA","#N/A","Edge, founded in 1998, is a start-up based in Austin, TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website.","#N/A",(512) 757-9000,Electronics,"#N/A","#N/A","#N/A",Edge Communications,1000,"#N/A","#N/A","#N/A",(512) 757-6000,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","312 Constitution Place
Austin, TX 78767
USA","#N/A","#N/A","#N/A","#N/A","#N/A",Customer - Direct,"#N/A",http://edgecomm.com,"#N/A"
17445b32-5aaa-4b11-92af-4c0bc6b5b5e1,CC634267,"#N/A",Yes,5.0E7,Lawrence,USA,"#N/A","#N/A","#N/A",66045,KS,1301 Hoch Drive,Low,"#N/A","#N/A",(785) 241-6201,Consulting,"#N/A","#N/A","#N/A",Dickenson plc,120,2.0,Private,"#N/A",(785) 241-6200,"#N/A",2019-10-07,7425,Bronze,Lawrence,USA,"#N/A","#N/A","#N/A",66045,KS,1301 Hoch Drive,6752,"#N/A","#N/A","#N/A","#N/A",Customer - Channel,No,dickenson-consulting.com,"#N/A"
189b041c-4ca4-4e27-a71b-406a3ef0c727,"#N/A","#N/A","#N/A",1.0E8,New York,USA,"#N/A","#N/A","#N/A",31349,NY,10 Main Rd.,"#N/A","#N/A","#N/A",(212) 555-5555,Manufacturing,"#N/A","#N/A","#N/A",Acme 5,680,"#N/A","#N/A","#N/A",(212) 555-5555,"#N/A","#N/A","#N/A","#N/A",New York,USA,"#N/A","#N/A","#N/A",31349,NY,10 Main Rd.,"#N/A","#N/A","#N/A","#N/A","#N/A",Prospect,"#N/A","#N/A","#N/A"
18d9d20d-be0e-4580-afd1-d99f6fb5207d,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",University of Arizona,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Customer - Direct,"#N/A","#N/A","#N/A"
1c013629-fb23-4bd8-927b-0a500d993874,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Dickenson plc v2,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Customer - Channel,"#N/A","#N/A","#N/A"
21775ca4-6393-4b6c-9f59-f6ba3d5b5462,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Express Logistics and Transport,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Customer - Channel,"#N/A","#N/A","#N/A"
2376e60d-a4b6-4585-8d8c-940ac428e7c9,"#N/A","#N/A","#N/A",1.39E8,Austin,"#N/A","#N/A","#N/A","#N/A","#N/A",TX,"312 Constitution Place
Austin, TX 78767
USA","#N/A","Edge, founded in 1998, is a start-up based in Austin, TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website.","#N/A",(512) 757-9000,Electronics,"#N/A","#N/A","#N/A",Edge Communications,1000,"#N/A","#N/A","#N/A",(512) 757-6000,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","312 Constitution Place
Austin, TX 78767
USA","#N/A","#N/A","#N/A","#N/A","#N/A",Customer - Direct,"#N/A",http://edgecomm.com,"#N/A"
26cc63d0-bcfc-4c5a-b679-8f9be34549f6,"#N/A","#N/A","#N/A",3.0E7,Mountain View,"#N/A","#N/A","#N/A","#N/A","#N/A",CA,"345 Shoreline Park
Mountain View, CA 94043
USA","#N/A",Genomics company engaged in mapping and sequencing of the human genome and developing gene-based drugs,"#N/A",(650) 867-9895,Biotechnology,"#N/A","#N/A","#N/A",GenePoint,265,"#N/A","#N/A","#N/A",(650) 867-3450,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","345 Shoreline Park
Mountain View, CA 94043
USA","#N/A","#N/A","#N/A","#N/A","#N/A",Customer - Channel,"#N/A",www.genepoint.com,"#N/A"
28ca78ab-0fa3-4847-b8cf-fbc90ebfdd9c,CD355118,"#N/A",Yes,5.6E9,New York,"#N/A","#N/A","#N/A","#N/A","#N/A",NY,"1301 Avenue of the Americas 
New York, NY 10019
USA",High,World's third largest oil and gas company.,"#N/A",(212) 842-5501,Energy,"#N/A","#N/A","#N/A",United Oil & Gas Corp.,145000,955.0,Public,"#N/A",(212) 842-5500,Hot,2019-10-07,6654,Platinum,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","1301 Avenue of the Americas 
New York, NY 10019
USA",4437,"#N/A","#N/A",UOS,"#N/A",Customer - Direct,Yes,http://www.uos.com,"#N/A"
2ba4b2be-8fed-40ba-b729-1e9391405bc3,"#N/A","#N/A","#N/A","#N/A",Tucson,"#N/A","#N/A","#N/A","#N/A","#N/A",AZ,"888 N Euclid 
Hallis Center, Room 501
Tucson, AZ 85721
United States","#N/A","Leading university in AZ offering undergraduate and graduate programs in arts and humanities, pure sciences, engineering, business, and medicine.","#N/A",(520) 773-9060,Education,"#N/A","#N/A","#N/A",University of Arizona,39000,"#N/A","#N/A","#N/A",(520) 773-9050,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","888 N Euclid 
Hallis Center, Room 501
Tucson, AZ 85721
United States","#N/A","#N/A","#N/A","#N/A","#N/A",Customer - Direct,"#N/A",www.universityofarizona.com,"#N/A"
2d54af86-7791-45b9-a63a-ea45ce28f17d,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","United Oil & Gas, Singapore","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Customer - Direct,"#N/A","#N/A","#N/A"
349a3c98-6883-4575-bc31-d31673bd4766,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",sForce,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
386e0af5-9df7-4318-b2cb-1cedbd4e2f5b,"#N/A","#N/A","#N/A",3.0E7,Mountain View,"#N/A","#N/A","#N/A","#N/A","#N/A",CA,"345 Shoreline Park
Mountain View, CA 94043
USA","#N/A",Genomics company engaged in mapping and sequencing of the human genome and developing gene-based drugs,"#N/A",(650) 867-9895,Biotechnology,"#N/A","#N/A","#N/A",GenePoint,265,"#N/A","#N/A","#N/A",(650) 867-3450,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","345 Shoreline Park
Mountain View, CA 94043
USA","#N/A","#N/A","#N/A","#N/A","#N/A",Customer - Channel,"#N/A",www.genepoint.com,"#N/A"
3a5393ea-d0a5-4fe9-8ed4-3c1a92af0da2,"#N/A","#N/A","#N/A","#N/A",Toronto,Canada,"#N/A","#N/A","#N/A",L4B 1Y3,Ontario,150 Chestnut Street,"#N/A","GBM is the worldwide leader in technology news and information on the Web and the producer of the longest-running and farthest-reaching television shows about technology. GBM's network of sites combines breakthrough interactive technology with engaging content and design and is consistently ranked as the Internet's leading content network in terms of both audience size and revenue, serving millions of users each day. The company's television programming is broadcast by the USA Network and the Sci-Fi Channel to more than 70 million households and is syndicated to broadcast television stations in the nation's top 120 markets, including the top 10 markets.","#N/A","#N/A",Media,"#N/A","#N/A","#N/A",Global Media,14668,"#N/A","#N/A","#N/A",(905) 555-1212,"#N/A","#N/A","#N/A","#N/A",Toronto,Canada,"#N/A","#N/A","#N/A",L4B 1Y3,Ontario,150 Chestnut Street,"#N/A","#N/A","#N/A","#N/A","#N/A",Prospect,"#N/A","#N/A","#N/A"
499fdecd-3889-4b08-92e0-0a7b03e7512f,"#N/A",Event,"#N/A",2.15E7,Milwaukee,United States,"#N/A","#N/A","#N/A",53202,WI,200 North Jefferson Street,"#N/A","7Summits is an online community solutions provider that brings together strong business acumen and strategy, award-winning creative, best-in-class technologies and community services to digitally transform the way businesses engage with their customers, partners and employees. Their mission is to create online community experiences that transform businesses and enhance people's lives. They help clients across a variety of markets create successful, measurable social business strategies and game-changing social experiences.","#N/A","#N/A",Advertising / Marketing,"#N/A","#N/A","#N/A",7Summits,106,"#N/A","#N/A","#N/A",(414) 918-2100,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Partner,"#N/A",www.7summitsinc.com,"#N/A"
4c79da64-ad29-4264-aa9d-adfe8efcdf1c,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Express Logistics and Transport,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Customer - Channel,"#N/A","#N/A","#N/A"
51835621-c0c0-47f2-9b9e-fd11d49576d5,"#N/A","#N/A","#N/A",5.0E7,Lawrence,USA,"#N/A","#N/A","#N/A",66045,KS,1301 Hoch Drive,"#N/A","#N/A","#N/A",(785) 241-6201,Consulting,"#N/A","#N/A","#N/A",Dickenson plc,120,"#N/A","#N/A","#N/A",(785) 241-6200,"#N/A","#N/A","#N/A","#N/A",Lawrence,USA,"#N/A","#N/A","#N/A",66045,KS,1301 Hoch Drive,"#N/A","#N/A","#N/A","#N/A","#N/A",Customer - Channel,"#N/A",dickenson-consulting.com,"#N/A"
51a29798-6570-4945-be89-17d3c588b85e,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Edge Communications,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Customer - Direct,"#N/A","#N/A","#N/A"
5226c577-1b6d-41c2-8fea-f27974199f5d,"#N/A","#N/A","#N/A",9.5E8,Portland,"#N/A","#N/A","#N/A","#N/A","#N/A",OR,"620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States","#N/A",Commerical logistics and transportation company.,"#N/A",(503) 421-7801,Transportation,"#N/A","#N/A","#N/A",Express Logistics and Transport,12300,"#N/A","#N/A","#N/A",(503) 421-7800,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States","#N/A","#N/A","#N/A","#N/A","#N/A",Customer - Channel,"#N/A",www.expressl&t.net,"#N/A"
52d0ef4e-f896-4628-9884-615bbfd76a97,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Test Account,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
52f341d1-931f-4ba6-96e1-56cb93179442,"#N/A","#N/A","#N/A","#N/A",Singapore,"#N/A","#N/A","#N/A","#N/A","#N/A",Singapore,"9 Tagore Lane
Singapore, Singapore 787472
Singapore","#N/A","#N/A","#N/A",(650) 450-8820,Energy,"#N/A","#N/A","#N/A","United Oil & Gas, Singapore",3000,"#N/A","#N/A","#N/A",(650) 450-8810,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","9 Tagore Lane
Singapore, Singapore 787472
Singapore","#N/A","#N/A","#N/A","#N/A","#N/A",Customer - Direct,"#N/A",http://www.uos.com,"#N/A"
58994461-1881-4fb7-8ff9-8f86522de7b2,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",United Oil & Gas Corp.,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Customer - Direct,"#N/A","#N/A","#N/A"
5fd0279f-06b0-4d43-a457-08d6b9531c09,CD736025,"#N/A",Yes,"#N/A",Tucson,"#N/A","#N/A","#N/A","#N/A","#N/A",AZ,"888 N Euclid 
Hallis Center, Room 501
Tucson, AZ 85721
United States",Medium,"Leading university in AZ offering undergraduate and graduate programs in arts and humanities, pure sciences, engineering, business, and medicine.","#N/A",(520) 773-9060,Education,"#N/A","#N/A","#N/A",University of Arizona,39000,3.0,Other,"#N/A",(520) 773-9050,Warm,2019-04-06,8350,Gold,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","888 N Euclid 
Hallis Center, Room 501
Tucson, AZ 85721
United States",7321,"#N/A","#N/A","#N/A","#N/A",Customer - Direct,Yes,www.universityofarizona.com,"#N/A"
6718189e-db81-447e-ad89-d31c735b04a3,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",sForce,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
6879fea7-1331-4710-9655-aad02f24dd45,"#N/A","#N/A","#N/A","#N/A",San Francisco,USA,"#N/A","#N/A","#N/A",94105,CA,"The Landmark @ One Market, Suite 300","#N/A","Founded in March 1999, salesforce.com (http://www.salesforce.com) builds and delivers customer relationship management (CRM) applications as scalable online services. The salesforce.com product suite - Team Edition, Professional Edition, Enterprise Edition, Wireless Edition and Offline Edition - gives companies of all sizes a complete 360-degree view of the customer. The company's award-winning CRM solutions provide integrated online sales force automation, customer service and support management, and marketing automation applications to help companies meet the complex challenges of global customer communication. Salesforce.com has received considerable recognition in the industry, including Editors' Choice and two Five-Star ratings from PC Magazine, two Deploy Awards from InfoWorld, Red Herring 100, Upside Hot 100, Investor's Choice Award from Enterprise Outlook, Editors' Choice from TMCLabs, Top 10 CRM Implementation from Aberdeen Group, and InfoWorld's 2001 CRM Technology of the Year. Founded in 1999, salesforce.com is headquartered in San Francisco, with offices in Europe and Asia.","#N/A",(415) 901-7040,Technology,"#N/A","#N/A","#N/A",salesforce.com 2,"#N/A","#N/A","#N/A","#N/A",(415) 901-7000,"#N/A","#N/A","#N/A","#N/A",San Francisco,USA,"#N/A","#N/A","#N/A",94105,CA,"The Landmark @ One Market, Suite 300","#N/A","#N/A","#N/A","#N/A","#N/A",Customer,"#N/A",http://www.salesforce.com,"#N/A"
6d843308-d7c8-4437-a378-54a5c2ac134b,CC213425,"#N/A",Yes,9.5E8,Paris,France,"#N/A","#N/A","#N/A",75251,"#N/A",2 Place Jussieu,"#N/A","#N/A","#N/A",(014) 427-4428,Construction,"#N/A","#N/A","#N/A",Pyramid Construction Inc.,2680,17.0,Public,"#N/A",(014) 427-4427,"#N/A",2019-10-07,9840,Silver,Paris,France,"#N/A","#N/A","#N/A",75251,"#N/A",2 Place Jussieu,4253,"#N/A","#N/A",PYR,"#N/A",Customer - Channel,Maybe,www.pyramid.com,"#N/A"
6d908661-ede2-4486-936d-a42b91a7d8f0,"#N/A","#N/A","#N/A","#N/A",Toronto,Canada,"#N/A","#N/A","#N/A",L4B 1Y3,Ontario,150 Chestnut Street,"#N/A","GBM is the worldwide leader in technology news and information on the Web and the producer of the longest-running and farthest-reaching television shows about technology. GBM's network of sites combines breakthrough interactive technology with engaging content and design and is consistently ranked as the Internet's leading content network in terms of both audience size and revenue, serving millions of users each day. The company's television programming is broadcast by the USA Network and the Sci-Fi Channel to more than 70 million households and is syndicated to broadcast television stations in the nation's top 120 markets, including the top 10 markets.","#N/A","#N/A",Media,"#N/A","#N/A","#N/A",Global Media,14668,"#N/A","#N/A","#N/A",(905) 555-1212,"#N/A","#N/A","#N/A","#N/A",Toronto,Canada,"#N/A","#N/A","#N/A",L4B 1Y3,Ontario,150 Chestnut Street,"#N/A","#N/A","#N/A","#N/A","#N/A",Prospect,"#N/A","#N/A","#N/A"
